organizer_id,name,email,phone_number,organization_name
1,Stephen Guzman,zmorgan@example.org,+1-310-447-2510x9657,Nelson-Wilson
2,Aaron Bowen,cantuamy@example.org,308-914-9946,Cordova PLC
3,James Clark,alexhaynes@example.net,(668)232-3488,Horton-Cooper
4,Jessica Mcintyre,shahapril@example.com,001-580-944-3245,Petersen Group
5,Jerry Allen,keith42@example.com,998.240.7850x208,Brown-Jackson
6,Kristen Malone,mejiamatthew@example.net,001-379-583-2843x338,Thomas-Mosley
7,Anthony Thomas,kimberly95@example.net,863-544-0015x814,"Reyes, Rodriguez and Johnson"
8,Erika Morales,gentryaaron@example.net,837-827-0426x52673,"Henderson, Hall and Malone"
9,Carly Jones,moorelaura@example.net,417.604.6213,"Palmer, Jones and Moore"
10,Lisa Taylor,morrisonjoshua@example.com,9092186239,Johnson-Hamilton
